wav, nm;  tau[toa:10km];  tau[toa:2km];  tau[toa:0km]
314.9  2.620636e-06  2.026604e-05  3.253263e-05
314.9  2.521583e-06  1.978962e-05  3.190763e-05
315.0  2.394421e-06  1.925759e-05  3.116728e-05
315.0  2.317120e-06  1.805961e-05  2.960623e-05
315.1  2.218166e-06  1.775954e-05  2.889568e-05
315.1  2.141725e-06  1.715180e-05  2.804496e-05
315.1  1.968817e-06  1.630638e-05  2.680767e-05
315.2  1.921248e-06  1.607636e-05  2.635135e-05
315.2  1.762509e-06  1.493994e-05  2.466592e-05
315.2  1.736512e-06  1.476229e-05  2.451344e-05
315.3  1.611769e-06  1.399069e-05  2.311563e-05
315.3  1.508412e-06  1.319335e-05  2.192063e-05
315.4  1.409584e-06  1.250015e-05  2.101522e-05
315.4  1.368420e-06  1.198520e-05  2.018568e-05
315.4  1.361241e-06  1.140774e-05  1.905570e-05
315.5  1.184210e-06  1.081349e-05  1.849267e-05
315.5  1.183120e-06  1.071326e-05  1.796268e-05
315.5  1.030960e-06  9.588320e-06  1.635910e-05
315.6  9.965791e-07  9.107830e-06  1.589576e-05
315.6  1.046468e-06  8.975846e-06  1.541030e-05
315.7  9.363738e-07  8.543304e-06  1.459295e-05
315.7  8.577708e-07  7.579696e-06  1.332000e-05
315.7  8.197232e-07  7.535576e-06  1.297938e-05
315.8  7.623350e-07  7.242216e-06  1.262038e-05
315.8  7.267362e-07  6.750803e-06  1.165768e-05
315.8  7.270069e-07  6.507298e-06  1.139688e-05
315.9  6.859900e-07  6.341257e-06  1.093221e-05
315.9  5.994442e-07  5.686157e-06  1.017547e-05
316.0  6.549539e-07  5.416946e-06  9.223352e-06
316.0  5.612439e-07  5.234947e-06  9.032352e-06
316.0  5.225659e-07  5.000261e-06  8.916374e-06
316.1  4.773160e-07  4.942235e-06  8.850797e-06
316.1  4.429494e-07  4.238548e-06  7.642159e-06
316.1  4.137230e-07  4.524296e-06  8.260501e-06
316.2  3.708509e-07  4.001402e-06  7.227696e-06
316.2  3.681529e-07  3.797573e-06  6.897551e-06
316.3  3.146764e-07  3.410130e-06  6.338213e-06
316.3  3.034370e-07  3.155609e-06  5.949267e-06
316.3  3.104128e-07  3.118580e-06  5.829901e-06
316.4  2.575862e-07  2.653045e-06  5.191790e-06
316.4  2.585340e-07  2.786194e-06  5.250945e-06
316.4  2.468361e-07  2.718823e-06  5.162221e-06
316.5  2.317438e-07  2.541404e-06  4.740368e-06
316.5  1.945769e-07  1.866619e-06  3.770302e-06
316.6  1.641819e-07  1.952560e-06  3.815066e-06
316.6  1.425279e-07  1.940358e-06  4.126678e-06
316.6  1.001782e-07  1.823543e-06  3.576772e-06
316.7  1.542513e-07  1.944783e-06  3.573242e-06
316.7  1.060030e-07  1.593067e-06  3.413385e-06
316.7  1.502856e-07  1.878291e-06  3.626431e-06
316.8  1.216202e-07  1.394575e-06  2.754083e-06
316.8  1.306029e-07  1.626017e-06  3.253476e-06
316.9  1.666726e-07  1.487093e-06  2.968948e-06
316.9  1.200186e-07  1.255390e-06  2.681612e-06
316.9  1.255477e-07  1.347046e-06  2.818007e-06
317.0  7.964308e-08  1.282820e-06  2.679832e-06
317.0  9.551797e-08  1.282580e-06  2.669486e-06
317.0  5.666503e-08  1.079321e-06  2.193603e-06
317.1  7.807717e-08  1.454405e-06  2.711528e-06
317.1  1.167827e-07  1.380836e-06  2.622306e-06
317.2  9.500795e-08  1.355754e-06  2.615745e-06
317.2  9.216360e-08  1.012536e-06  2.148783e-06
317.2  1.312427e-07  1.117368e-06  2.204786e-06
317.3  1.290753e-07  1.243202e-06  2.346916e-06
317.3  9.426938e-08  1.085827e-06  2.071330e-06
317.3  9.413084e-08  8.475632e-07  1.662703e-06
317.4  1.038990e-07  1.075866e-06  1.935941e-06
317.4  8.327128e-08  9.188522e-07  1.984186e-06
317.5  1.657321e-07  1.012626e-06  1.844171e-06
317.5  6.978069e-08  1.134785e-06  2.085129e-06
317.5  1.762018e-07  1.226118e-06  2.170839e-06
317.6  1.852655e-07  1.048810e-06  1.744449e-06
317.6  1.214719e-07  1.017338e-06  1.901883e-06
317.6  1.427479e-07  1.388925e-06  2.325283e-06
317.7  1.256837e-07  1.276420e-06  2.111165e-06
317.7  1.331176e-07  1.021650e-06  1.865048e-06
317.8  1.297428e-07  1.152948e-06  2.001876e-06
317.8  1.324126e-07  1.161064e-06  2.045075e-06
317.8  1.339701e-07  1.144026e-06  1.887031e-06
317.9  1.359910e-07  1.151073e-06  1.890953e-06
317.9  1.380442e-07  1.161200e-06  1.898397e-06
317.9  1.402217e-07  1.172586e-06  1.911559e-06
318.0  1.424929e-07  1.185111e-06  1.925610e-06
318.0  1.448883e-07  1.198124e-06  1.941041e-06
318.1  1.473773e-07  1.212533e-06  1.958808e-06
318.1  1.499753e-07  1.227787e-06  1.977890e-06
318.1  1.525580e-07  1.243655e-06  1.998353e-06
318.2  1.553739e-07  1.260729e-06  2.020790e-06
318.2  1.581745e-07  1.278417e-06  2.044607e-06
318.2  1.610841e-07  1.297014e-06  2.070102e-06
318.3  1.639783e-07  1.316098e-06  2.096254e-06
318.3  1.671211e-07  1.335965e-06  2.124083e-06
318.3  1.702332e-07  1.356804e-06  2.153229e-06
318.4  1.734543e-07  1.378617e-06  2.184412e-06
318.4  1.767844e-07  1.401211e-06  2.216551e-06
318.5  1.802387e-07  1.424229e-06  2.249707e-06
318.5  1.838020e-07  1.448094e-06  2.284180e-06
318.5  1.873347e-07  1.472993e-06  2.320330e-06
318.6  1.909916e-07  1.498317e-06  2.357500e-06
318.6  1.947575e-07  1.524486e-06  2.395985e-06
318.6  1.986324e-07  1.551501e-06  2.435785e-06
318.7  2.024919e-07  1.579066e-06  2.476605e-06
318.7  2.066000e-07  1.607287e-06  2.518379e-06
318.8  2.106774e-07  1.636608e-06  2.562192e-06
318.8  2.148791e-07  1.666224e-06  2.606301e-06
318.8  2.191898e-07  1.696750e-06  2.652087e-06
318.9  2.236095e-07  1.728058e-06  2.698827e-06
318.9  2.280138e-07  1.759979e-06  2.746948e-06
318.9  2.326513e-07  1.793042e-06  2.796681e-06
319.0  2.372736e-07  1.826655e-06  2.847434e-06
319.0  2.421290e-07  1.861346e-06  2.899436e-06
319.1  2.469845e-07  1.896165e-06  2.952162e-06
319.1  2.519336e-07  1.932314e-06  3.006861e-06
319.1  2.570070e-07  1.968825e-06  3.062218e-06
319.2  2.621893e-07  2.006180e-06  3.118891e-06
319.2  2.674653e-07  2.044867e-06  3.177537e-06
319.2  2.728656e-07  2.083915e-06  3.236841e-06
319.3  2.784991e-07  2.124168e-06  3.298118e-06
